Edad,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres
52,1497,708,159,68,114,56,118,51,121,61,136,56,105,60,120,68,130,56,107,61,122,48,124,48,139,75,1497,708
53,1462,717,160,62,101,46,121,63,107,56,135,58,106,66,101,63,108,56,130,46,115,67,117,61,160,73,1462,717
54,1612,682,158,68,124,61,143,46,129,49,138,49,118,54,129,57,129,60,132,49,133,46,125,60,154,83,1612,682
55,1570,662,161,64,142,53,129,58,121,47,130,58,120,58,128,53,117,45,122,50,119,57,127,58,153,61,1570,662
56,1775,790,178,78,148,66,149,65,158,69,138,54,136,64,144,65,137,55,134,62,128,69,150,55,175,87,1775,790
57,1799,800,172,79,149,59,159,64,134,68,133,57,139,64,166,75,140,58,141,79,141,58,140,70,184,68,1799,800
58,1966,813,200,82,165,65,173,67,156,80,146,57,164,63,173,57,149,75,156,57,148,69,170,63,164,77,1966,813
59,2018,927,180,91,166,65,167,83,156,73,176,68,166,79,150,76,163,70,146,72,171,86,179,67,196,96,2018,927
60,2137,909,216,90,173,75,176,73,143,82,166,66,181,72,179,73,180,60,153,79,185,82,163,73,220,83,2137,909
61,2206,934,226,88,190,69,203,65,190,63,166,77,170,86,144,68,197,77,152,75,193,64,187,92,186,110,2206,934
62,2560,1063,275,90,231,94,241,107,198,94,209,94,207,74,223,85,198,72,205,81,190,81,190,98,192,92,2560,1063
63,2799,1164,276,103,210,98,253,117,209,87,226,88,242,81,241,101,218,90,217,99,246,97,217,93,242,110,2799,1164
64,2631,1063,266,101,216,73,221,98,193,100,205,81,213,90,201,86,222,66,184,87,226,100,209,80,274,99,2631,1063
65,2990,1234,297,124,279,117,264,114,263,103,225,101,244,92,234,104,217,86,207,97,272,94,222,93,264,108,2990,1234
66,3086,1260,290,111,281,95,265,115,248,94,259,113,222,99,259,102,249,105,208,92,265,102,240,120,298,111,3086,1260
67,3315,1419,333,140,249,115,306,118,246,124,270,117,262,106,275,107,241,110,214,130,278,108,304,109,336,134,3315,1419
68,3294,1521,287,144,283,121,291,125,261,145,299,121,252,114,250,132,276,120,227,112,286,125,275,115,304,146,3294,1521
