Nacimientos
    Movimiento natural de la población. Datos avanzados: Año 2011

Nacimientos por edad de la madre ; mes y sexo .
Unidades:Nacimientos


,Enero,,Febrero,,Marzo,,Abril,,Mayo,,Junio,,Julio,,Agosto,,Septiembre,,Octubre,,Noviembre,,Diciembre,,Total,,
,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,
De 38 años,"771.0","729.0","759.0","704.0","847.0","822.0","759.0","686.0","801.0","738.0","792.0","776.0","858.0","788.0","887.0","817.0","806.0","796.0","836.0","847.0","863.0","777.0","833.0","801.0","9813.0","9282.0",
De 39 años,"620.0","579.0","591.0","540.0","609.0","608.0","577.0","516.0","635.0","593.0","565.0","555.0","598.0","616.0","655.0","619.0","646.0","608.0","647.0","637.0","649.0","677.0","658.0","599.0","7451.0","7149.0",
De 40 años,"418.0","409.0","435.0","408.0","465.0","403.0","390.0","404.0","421.0","426.0","431.0","372.0","449.0","407.0","476.0","469.0","403.0","449.0","460.0","488.0","489.0","453.0","467.0","427.0","5305.0","5115.0",
De 41 años,"255.0","254.0","230.0","272.0","256.0","284.0","255.0","244.0","255.0","253.0","276.0","258.0","290.0","280.0","314.0","276.0","310.0","287.0","284.0","264.0","305.0","289.0","327.0","288.0","3357.0","3250.0",
De 42 años,"159.0","136.0","172.0","144.0","173.0","177.0","161.0","147.0","140.0","138.0","155.0","168.0","163.0","173.0","175.0","201.0","169.0","160.0","183.0","174.0","176.0","171.0","167.0","182.0","1993.0","1971.0",
De 43 años,"91.0","91.0","94.0","82.0","103.0","82.0","83.0","76.0","80.0","95.0","99.0","93.0","114.0","100.0","78.0","107.0","102.0","104.0","110.0","105.0","83.0","90.0","106.0","98.0","1144.0","1124.0",
De 44 años,"52.0","58.0","67.0","52.0","52.0","51.0","45.0","50.0","44.0","36.0","57.0","53.0","67.0","51.0","46.0","51.0","52.0","41.0","68.0","45.0","58.0","60.0","60.0","48.0","668.0","596.0",
De 45 años,"31.0","29.0","31.0","34.0","38.0","36.0","20.0","27.0","26.0","26.0","27.0","23.0","29.0","25.0","22.0","27.0","22.0","23.0","27.0","19.0","33.0","31.0","30.0","36.0","336.0","336.0",
De 46 años,"21.0","13.0","15.0","21.0","18.0","14.0","6.0","20.0","7.0","13.0","17.0","17.0","16.0","13.0","13.0","21.0","13.0","12.0","22.0","21.0","19.0","20.0","14.0","15.0","181.0","200.0",
De 47 años,"13.0","12.0","14.0","10.0","9.0","10.0","14.0","11.0","2.0","8.0","7.0","7.0","9.0","7.0","8.0","7.0","9.0","8.0","6.0","11.0","8.0","10.0","7.0","7.0","106.0","108.0",
De 48 años,"4.0","4.0","10.0","9.0","4.0","5.0","3.0","1.0","2.0","0.0","6.0","2.0","6.0","3.0","5.0","4.0","1.0","1.0","5.0","8.0","6.0","7.0","3.0","6.0","55.0","50.0",
De 49 años y más,"9.0","14.0","10.0","16.0","7.0","7.0","6.0","7.0","10.0","5.0","11.0","15.0","10.0","3.0","2.0","9.0","12.0","9.0","7.0","13.0","4.0","5.0","5.0","12.0","93.0","115.0",
Todas las edades,"20028.0","18573.0","18985.0","17666.0","20565.0","19351.0","19336.0","18104.0","20305.0","19015.0","19706.0","18397.0","20836.0","19620.0","21499.0","20183.0","20183.0","19069.0","20706.0","19711.0","20317.0","19039.0","19788.0","18913.0","242252.0","227641.0",

Fuente:Instituto Nacional de Estadística

Copyright INE 2012


Paseo de la Castellana; 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:www.ine.es/infoine
